review_id,industry,org,aspect,sentiment
R000001,Fashion,Northerly,general-satisfaction,positive
R000002,Trading,Quantly,ease-of-use,positive
R000003,Fashion,Northerly,attitude-of-staff,negative
R000004,Price Comparison,CompareHive,app-website,negative
R000005,Banking,Halden Savings,ease-of-use,negative
R000006,Information Technology,Ardent Systems,app-website,neutral
R000007,Trading,Quantly,app-website,positive
R000008,Fashion,Marbrook,price-value-for-money,negative
R000009,Ride Hailing,Swiftly Rides,phone,negative
R000010,Fashion,Marbrook,general-satisfaction,positive
R000011,Groceries,Larkmead Market,competitor,negative
R000012,Price Comparison,Tallywise,app-website,positive
R000013,Fashion,Marbrook,ease-of-use,negative
R000014,Fashion,Marbrook,speed,positive
R000015,Fashion,Sable Row,speed,positive
R000016,Groceries,Freshbury,app-website,negative
R000017,Travel Booking,Journeo,general-satisfaction,positive
R000018,Fashion,Sable Row,general-satisfaction,positive
R000019,Fashion,Marbrook,general-satisfaction,negative
R000020,Travel Booking,Roamly,ease-of-use,positive
R000021,Price Comparison,PricePilot,speed,positive
R000022,Trading,Northpeak Trading,attitude-of-staff,negative
R000023,Price Comparison,Tallywise,app-website,negative
R000024,Trading,Quantly,ease-of-use,positive
R000025,Banking,Kestrel Bank,competitor,positive
R000026,Fashion,Vella & Co,app-website,negative
R000027,Price Comparison,CompareHive,attitude-of-staff,positive
R000028,Travel Booking,Wayfare,ease-of-use,negative
R000029,Groceries,Larkmead Market,account-access,positive
R000030,Fashion,Vella & Co,attitude-of-staff,negative
R000031,Travel Booking,Trippa,price-value-for-money,negative
R000032,Fashion,Sable Row,general-satisfaction,negative
R000033,Price Comparison,Tallywise,price-value-for-money,negative
R000034,Ride Hailing,Swiftly Rides,ease-of-use,negative
R000035,Banking,Vanter Financial,app-website,positive
R000036,Price Comparison,PricePilot,app-website,negative
R000037,Fashion,Northerly,speed,positive
R000038,Price Comparison,CompareHive,app-website,positive
R000039,Groceries,Freshbury,app-website,negative
R000040,Fashion,Marbrook,speed,positive
R000041,Groceries,Freshbury,app-website,negative
R000042,Trading,Northpeak Trading,phone,negative
R000043,Fashion,Sable Row,general-satisfaction,negative
R000044,Price Comparison,PricePilot,price-value-for-money,positive
R000045,Fashion,Northerly,speed,positive
R000046,Ride Hailing,Kerbside,email,negative
R000047,Trading,Quantly,app-website,positive
R000048,Price Comparison,Tallywise,attitude-of-staff,positive
R000049,Banking,Kestrel Bank,ease-of-use,positive
R000050,Groceries,Larkmead Market,app-website,positive
R000051,Trading,Quantly,general-satisfaction,positive
R000052,Banking,Halden Savings,ease-of-use,positive
R000053,Banking,Halden Savings,ease-of-use,negative
R000054,Groceries,Freshbury,ease-of-use,negative
R000055,Fashion,Northerly,competitor,positive
R000056,Price Comparison,PricePilot,price-value-for-money,positive
R000057,Banking,Northeast Bank,speed,positive
R000058,Price Comparison,CompareHive,speed,positive
R000059,Fashion,Marbrook,price-value-for-money,negative
R000060,Fashion,Sable Row,general-satisfaction,positive
R000061,Price Comparison,Tallywise,attitude-of-staff,positive
R000062,Price Comparison,CompareHive,ease-of-use,positive
R000063,Price Comparison,Tallywise,email,negative
R000064,Travel Booking,Wayfare,email,negative
R000065,Groceries,Freshbury,app-website,negative
R000066,Fashion,Northerly,app-website,positive
R000067,Price Comparison,CompareHive,ease-of-use,negative
R000068,Banking,Northeast Bank,general-satisfaction,positive
R000069,Fashion,Sable Row,general-satisfaction,positive
R000070,Fashion,Vella & Co,phone,positive
