id,org_index,data_source,industry,text,parent_aspect,child_aspect,sentiment
301972057,600,Trustpilot,Price Comparison,"My experience is only around the Parking forum, so my review is based on this specific experience. As someone who needed information on pursuing actions around an unfair parking fine it was pretty good to read, although there are plenty of other very good forums and sites out there too. It’s free so that’s another bonus. But as a normal person, just there looking for information, some discussion as needed and of course a little moral support, I was really shocked by the OTT attitudes and behaviour of some of the regular forum members. Snooty, supercilious, self serving and anti anyone new who’s just finding their way with a specific issue - without the new people who seek info and advice from it, this forum wouldn’t exist would it so why abuse us? I think the administrators need to ‘police’ it better. Just like any forum you come across, it has people there who for them being a regular on it is their life and it comes across that their egos are far more important than the purpose of the forum, which is supposed to be to provide altruistic help to members of the public. I’m afraid I did experience bullying behaviour from ‘regulars’ with repeated attempts to belittle me. There were also some very good people and some good tips but as usual the bad are louder, distract from the reason you’re there and tend to be what you remember.",staff-support,attitude-of-staff,negative
301972057,600,Trustpilot,Price Comparison,"My experience is only around the Parking forum, so my review is based on this specific experience. As someone who needed information on pursuing actions around an unfair parking fine it was pretty good to read, although there are plenty of other very good forums and sites out there too. It’s free so that’s another bonus. But as a normal person, just there looking for information, some discussion as needed and of course a little moral support, I was really shocked by the OTT attitudes and behaviour of some of the regular forum members. Snooty, supercilious, self serving and anti anyone new who’s just finding their way with a specific issue - without the new people who seek info and advice from it, this forum wouldn’t exist would it so why abuse us? I think the administrators need to ‘police’ it better. Just like any forum you come across, it has people there who for them being a regular on it is their life and it comes across that their egos are far more important than the purpose of the forum, which is supposed to be to provide altruistic help to members of the public. I’m afraid I did experience bullying behaviour from ‘regulars’ with repeated attempts to belittle me. There were also some very good people and some good tips but as usual the bad are louder, distract from the reason you’re there and tend to be what you remember.",company-brand,reviews,negative
301972057,600,Trustpilot,Price Comparison,"My experience is only around the Parking forum, so my review is based on this specific experience. As someone who needed information on pursuing actions around an unfair parking fine it was pretty good to read, although there are plenty of other very good forums and sites out there too. It’s free so that’s another bonus. But as a normal person, just there looking for information, some discussion as needed and of course a little moral support, I was really shocked by the OTT attitudes and behaviour of some of the regular forum members. Snooty, supercilious, self serving and anti anyone new who’s just finding their way with a specific issue - without the new people who seek info and advice from it, this forum wouldn’t exist would it so why abuse us? I think the administrators need to ‘police’ it better. Just like any forum you come across, it has people there who for them being a regular on it is their life and it comes across that their egos are far more important than the purpose of the forum, which is supposed to be to provide altruistic help to members of the public. I’m afraid I did experience bullying behaviour from ‘regulars’ with repeated attempts to belittle me. There were also some very good people and some good tips but as usual the bad are louder, distract from the reason you’re there and tend to be what you remember.",company-brand,general-satisfaction,negative
301982453,514,Google Play,Banking,"I love it so handy, plus I hate my bank so it takes away alot of business from them",company-brand,general-satisfaction,positive
301982453,514,Google Play,Banking,"I love it so handy, plus I hate my bank so it takes away alot of business from them",company-brand,competitor,positive
301980653,369,Google Play,Ride Hailing,Sometimes it takes,company-brand,general-satisfaction,negative
301979991,727,Apple Store,Fashion,This is the worst app I ordered my sneakers 2/1/2 weeks ago still haven’t received them they saying they attempted to send it but never send it thi app should be token down,logistics-rides,speed,negative
301979991,727,Apple Store,Fashion,This is the worst app I ordered my sneakers 2/1/2 weeks ago still haven’t received them they saying they attempted to send it but never send it thi app should be token down,online-experience,app-website,negative
301979991,727,Apple Store,Fashion,This is the worst app I ordered my sneakers 2/1/2 weeks ago still haven’t received them they saying they attempted to send it but never send it thi app should be token down,company-brand,competitor,negative
301984330,549,Google Play,Travel Booking,So easy & loads of info !,company-brand,general-satisfaction,positive
