id,text,labels,org_index,industry,data_source
301988849,Literally only place I get my shoes,['company-brand.general-satisfaction.1'],727,Fashion,Google Play
301988545,Will not let me login,['account-management.account-access.-1'],727,Fashion,Google Play
576785371,"I've already reviewed it, so please let me sign up thank you!",['account-management.account-access.0'],5827,Consulting,Apple Store
301983983,Easy to use and price is good,"['purchase-booking-experience.ease-of-use.1', 'value.price-value-for-money.1']",549,Travel Booking,Google Play
301988330,I find this app easy to use and with an extensive filter. I also like that it keeps track of coupons and deals automatically and that you can link your ORG727 card.,"['purchase-booking-experience.ease-of-use.1', 'online-experience.app-website.1']",727,Fashion,Google Play
301976717,I get out of tremendous trouble! 👏🏻👏🏻👏🏻👏🏻,['staff-support.attitude-of-staff.1'],369,Ride Hailing,Apple Store
301984447,"Agoda's oath likes to be clear so far 2 times the order suddenly canceled with ORG549 and then the return is clear, already tired of wanting to rest at the hotel no my name so lost 2 times sorry to use ORG549 do not want responsibility. Then it was also clear on the phone","['online-experience.app-website.-1', 'purchase-booking-experience.ease-of-use.-1', 'company-brand.general-satisfaction.-1']",549,Travel Booking,Google Play
301981664,Great for using abroad. I use it in Europe and have my children use it for school trips abroad. Easy way to track their spending. Top up when required etc..,"['company-brand.general-satisfaction.1', 'logistics-rides.speed.1']",514,Banking,Google Play
301974092,"If you think about getting an account at ORG685, think again! They are extremely slow in verifying an account and pay out money, even a simple refund takes ages. They have kept $300 since I wanted to invest somewhere else. These money are now locked up in ORG685 land, with only ""bare with us while we look into your case""-emails for contact. Frustrating.","['account-management.account-access.-1', 'purchase-booking-experience.ease-of-use.-1', 'logistics-rides.speed.-1', 'staff-support.email.-1']",685,Trading,Trustpilot
301978456,Have you deleted my review without explanations ??? Bah,['company-brand.reviews.-1'],549,Travel Booking,Apple Store
301984449,Got the confirmation email.. 👍,['staff-support.email.1'],549,Travel Booking,Google Play
301981258,Great app and great card for traveling with no fees and better exchange rates.,"['purchase-booking-experience.ease-of-use.1', 'online-experience.app-website.1', 'value.price-value-for-money.1']",514,Banking,Google Play
327195674,"Please pass me the password to ORG3887 someone, I need urgent",['account-management.account-access.0'],3887,Streaming,Google Play
301971626,Lowers prices ever found on the market,"['value.price-value-for-money.1', 'company-brand.competitor.1']",600,Price Comparison,Trustpilot
