review_id,industry,org,aspect,sentiment
R000001,Consulting,Castellan Partners,attitude-of-staff,negative
R000002,Price Comparison,PricePilot,price-value-for-money,negative
R000003,Price Comparison,CompareHive,account-access,negative
R000004,Consulting,Castellan Partners,attitude-of-staff,positive
R000005,Consulting,Merrow & Pike,discounts-promotions,positive
R000006,Streaming,Lumora,account-access,negative
R000007,Travel Booking,Trippa,email,negative
R000008,Information Technology,Bluepath Technologies,phone,negative
R000009,Fashion,Marbrook,general-satisfaction,negative
R000010,Banking,Halden Savings,account-access,negative
R000011,Consulting,Castellan Partners,attitude-of-staff,positive
R000012,Banking,Northeast Bank,email,negative
R000013,Streaming,Pinecast,ease-of-use,positive
R000014,Trading,Quantly,ease-of-use,positive
R000015,Consulting,Alderline Advisory,speed,positive
R000016,Groceries,Oakpan Grocers,ease-of-use,negative
R000017,Price Comparison,PricePilot,price-value-for-money,negative
R000018,Ride Hailing,Kerbside,account-access,neutral
R000019,Travel Booking,Wayfare,ease-of-use,positive
R000020,Streaming,Lumora,phone,negative
R000021,Price Comparison,PricePilot,price-value-for-money,positive
R000022,Groceries,Larkmead Market,competitor,positive
R000023,Fashion,Marbrook,price-value-for-money,positive
R000024,Groceries,Oakpan Grocers,ease-of-use,negative
R000025,Information Technology,Ardent Systems,discounts-promotions,negative
R000026,Trading,Investa,discounts-promotions,negative
R000027,Banking,Northeast Bank,general-satisfaction,positive
R000028,Groceries,Freshbury,competitor,negative
R000029,Consulting,Merrow & Pike,general-satisfaction,positive
R000030,Price Comparison,CompareHive,general-satisfaction,positive
R000031,Fashion,Marbrook,speed,positive
R000032,Streaming,Pinecast,email,negative
R000033,Ride Hailing,Kerbside,competitor,negative
R000034,Groceries,Freshbury,app-website,negative
R000035,Price Comparison,Tallywise,general-satisfaction,positive
R000036,Price Comparison,Tallywise,general-satisfaction,positive
R000037,Banking,Kestrel Bank,app-website,positive
R000038,Groceries,Freshbury,app-website,negative
R000039,Banking,Halden Savings,general-satisfaction,negative
R000040,Trading,Northpeak Trading,attitude-of-staff,negative
R000041,Consulting,Alderline Advisory,email,negative
R000042,Price Comparison,CompareHive,reviews,negative
R000043,Ride Hailing,Kerbside,discounts-promotions,negative
