task_id,question,gold_answer
T1-E1,What proportion of Banking reviews that mention the app or website are negative?,18.7% of Banking reviews about the app or website are negative (80 out of 427).
T1-E2,What proportion of Fashion reviews that mention ease of use are positive?,86.8% of Fashion reviews about ease of use are positive (402 out of 463).
T1-H1,What proportion of Fashion reviews that mention speed are negative?,21.3% of Fashion reviews about speed are negative (117 out of 549).
T1-H2,What proportion of Price Comparison reviews that mention staff attitude are negative?,10.9% of Price Comparison reviews about staff attitude are negative (43 out of 396).
T1-H3,What proportion of Ride Hailing reviews that mention discounts and promotions are negative?,"No answer. Ride Hailing has only 3 reviews mentioning discounts and promotions (minimum 30), so no proportion can be reported reliably."
T2-E1,What is the sentiment breakdown across all Ride Hailing reviews?,"The customer base is mostly dissatisfied. Ride Hailing sentiment is 22.1% positive, 72.8% negative and 5.2% neutral across 1532 mentions."
T2-E2,What is the sentiment breakdown across all Marbrook reviews?,"The customer base is mostly satisfied. Marbrook sentiment is 65.6% positive, 32.8% negative and 1.6% neutral across 1044 mentions."
T2-H1,What is the sentiment breakdown across all Vanter Financial reviews?,"The customer base is mostly satisfied. Vanter Financial sentiment is 60.2% positive, 28.3% negative and 11.4% neutral across 420 mentions."
T2-H2,What is the sentiment breakdown across all PricePilot reviews?,"The customer base is mostly satisfied. PricePilot sentiment is 84.1% positive, 15.5% negative and 0.4% neutral across 805 mentions."
T2-H3,What is the sentiment breakdown across all Sable Row reviews?,"The customer base is mostly satisfied. Sable Row sentiment is 69.5% positive, 30.2% negative and 0.3% neutral across 925 mentions."
T3-E1,What are the top 3 topics with the most number of complaints in Travel Booking?,"The top 3 topics with the most complaints in Travel Booking are: the app or website (215), account access (149) and email support (138)."
T3-E2,What are the top 3 topics with the most number of complaints in Groceries?,"The top 3 topics with the most complaints in Groceries are: the app or website (383), ease of use (215) and email support (100)."
T3-H1,What are the top 3 topics with the most number of complaints in Fashion?,"The top 3 topics with the most complaints in Fashion are: the app or website (241), general satisfaction (160) and speed (117)."
T3-H2,What are the top 3 topics with the most number of complaints in Price Comparison?,"The top 3 topics with the most complaints in Price Comparison are: the app or website (148), price and value for money (65) and general satisfaction (48)."
T3-H3,What are the top 3 topics with the most number of complaints in Consulting?,"No answer. Consulting reviews in the dataset only cover one topic (account access), so a top 3 ranking of complaint topics does not exist."
T4-E1,"Looking only at reviews about price and value for money, is the negative sentiment rate higher in Banking or Ride Hailing?","Ride Hailing has the higher negative sentiment rate (75.8%) for price and value for money, compared to 20.0% for Banking."
